rank,word_of_interest,colocate,score,score_normalized,label
0,terrorism,"('international', 'terrorism')",1715.6057888598398,0.003964216318623944,1980 - 1985
1,terrorism,"('combat', 'terrorism')",837.2847434333721,0.0019346972741676864,1980 - 1985
2,terrorism,"('fight', 'terrorism')",490.9585248880677,0.0011344481399904053,1980 - 1985
3,terrorism,"('acts', 'terrorism')",468.88955729129736,0.0010834538136420186,1980 - 1985
4,terrorism,"('sponsor', 'terrorism')",360.2672851541213,0.0008324624806864599,1980 - 1985
5,terrorism,"('support', 'terrorism')",249.83262799290915,0.000577283305550275,1980 - 1985
6,terrorism,"('counter', 'terrorism')",154.2754983979042,0.000356481338710835,1980 - 1985
7,terrorism,"('definition', 'terrorism')",120.17942833769459,0.00027769622489779767,1980 - 1985
8,terrorism,"('dealing', 'terrorism')",101.63542455094313,0.00023484696261306303,1980 - 1985
9,terrorism,"('leftist', 'terrorism')",96.5899474008242,0.00022318847848831652,1980 - 1985
10,terrorism,"('urban', 'terrorism')",95.46226006998575,0.00022058275370687576,1980 - 1985
11,terrorism,"('nuclear', 'terrorism')",90.47867493328533,0.00020906728223175967,1980 - 1985
12,terrorism,"('wave', 'terrorism')",82.23851607888804,0.00019002691036383516,1980 - 1985
13,terrorism,"('form', 'terrorism')",79.95668990891613,0.00018475433982461043,1980 - 1985
14,terrorism,"('prevention', 'terrorism')",73.92716545034095,0.00017082203707334087,1980 - 1985
15,terrorism,"('terrorism', 'expert')",73.8261865483195,0.00017058870712433424,1980 - 1985
16,terrorism,"('curb', 'terrorism')",67.86937076212664,0.00015682441086233806,1980 - 1985
17,terrorism,"('anti', 'terrorism')",66.44536034307959,0.00015353397818967354,1980 - 1985
18,terrorism,"('wing', 'terrorism')",65.87270366203305,0.00015221075173828553,1980 - 1985
19,terrorism,"('renounce', 'terrorism')",64.39243077560857,0.00014879031449653414,1980 - 1985
20,terrorism,"('condemn', 'terrorism')",63.73348047952984,0.00014726769109794243,1980 - 1985
21,terrorism,"('security', 'terrorism')",57.77713983764626,0.00013350449274249148,1980 - 1985
22,terrorism,"('expert', 'terrorism')",55.110570835406435,0.00012734290456060436,1980 - 1985
23,terrorism,"('victim', 'terrorism')",52.97375443343137,0.00012240540522036116,1980 - 1985
24,terrorism,"('act', 'terrorism')",52.347069981141246,0.00012095733786798447,1980 - 1985
25,terrorism,"('domestic', 'terrorism')",52.00223329283874,0.00012016053056183897,1980 - 1985
26,terrorism,"('deal', 'terrorism')",50.68126163324941,0.00011710818750996345,1980 - 1985
27,terrorism,"('specialist', 'terrorism')",48.414393976730466,0.00011187018131152005,1980 - 1985
28,terrorism,"('condone', 'terrorism')",47.520900609625485,0.00010980560388385016,1980 - 1985
29,terrorism,"('define', 'terrorism')",46.18457885516049,0.00010671779167175514,1980 - 1985
30,terrorism,"('terrorism', 'sabotage')",46.070109881518455,0.00010645329048142665,1980 - 1985
31,terrorism,"('scourge', 'terrorism')",45.802304413463204,0.0001058344776902977,1980 - 1985
32,terrorism,"('rise', 'terrorism')",45.3520445920573,0.0001047940712384028,1980 - 1985
33,terrorism,"('end', 'terrorism')",44.363027949805904,0.00010250877007069736,1980 - 1985
34,terrorism,"('suppress', 'terrorism')",44.11296067944396,0.00010193094458167204,1980 - 1985
35,terrorism,"('threat', 'terrorism')",44.03391657614147,0.00010174829893764508,1980 - 1985
36,terrorism,"('upsurge', 'terrorism')",42.98875476361869,9.93332642369526e-05,1980 - 1985
37,terrorism,"('violence', 'terrorism')",41.081585849280124,9.492640679820628e-05,1980 - 1985
38,terrorism,"('foment', 'terrorism')",41.051792389699216,9.485756364121426e-05,1980 - 1985
39,terrorism,"('terrorism', 'mr')",40.7372264775243,9.413070241795191e-05,1980 - 1985
40,terrorism,"('state', 'terrorism')",39.27497812380978,9.075191410695625e-05,1980 - 1985
41,terrorism,"('terrorism', 'act')",38.023327828231054,8.785975055798549e-05,1980 - 1985
42,terrorism,"('terrorism', 'practiced')",37.17640308709274,8.590277833204182e-05,1980 - 1985
43,terrorism,"('jewish', 'terrorism')",36.380025103013296,8.406260349655199e-05,1980 - 1985
44,terrorism,"('terrorism', 'threaten')",35.48778631355789,8.200092499660998e-05,1980 - 1985
45,terrorism,"('struggle', 'terrorism')",34.638586216633804,8.003869515111572e-05,1980 - 1985
46,terrorism,"('outbreak', 'terrorism')",34.5599267838587,7.985693835765794e-05,1980 - 1985
47,terrorism,"('terrorism', 'must')",33.76325553072855,7.801608587118085e-05,1980 - 1985
48,terrorism,"('terrorism', 'flourish')",31.978211390240176,7.389141972868033e-05,1980 - 1985
49,terrorism,"('deterrent', 'terrorism')",31.57988175611186,7.297100733204673e-05,1980 - 1985
50,terrorism,"('terrorism', 'investigate')",31.52524109758845,7.28447502445588e-05,1980 - 1985
51,terrorism,"('terrorism', 'subversion')",30.782460753580054,7.112842241447608e-05,1980 - 1985
52,terrorism,"('eradicate', 'terrorism')",30.341254939686635,7.010893687842503e-05,1980 - 1985
53,terrorism,"('abet', 'terrorism')",29.769743198991577,6.878835601803158e-05,1980 - 1985
54,terrorism,"('spread', 'terrorism')",28.81864837906808,6.65906800541348e-05,1980 - 1985
55,terrorism,"('terrorism', 'often')",28.80761173726627,6.656517790450483e-05,1980 - 1985
56,terrorism,"('tolerate', 'terrorism')",27.63294966298447,6.385090951372768e-05,1980 - 1985
57,terrorism,"('cope', 'terrorism')",27.283563184040005,6.304358909645474e-05,1980 - 1985
58,terrorism,"('response', 'terrorism')",27.141414666738704,6.27151293327881e-05,1980 - 1985
59,terrorism,"('promote', 'terrorism')",27.080840819064612,6.257516254263693e-05,1980 - 1985
60,terrorism,"('campaign', 'terrorism')",27.02115737672383,6.24372531944549e-05,1980 - 1985
61,terrorism,"('terrorism', 'become')",26.443527754659193,6.110253586674583e-05,1980 - 1985
62,terrorism,"('problem', 'terrorism')",26.143375794208467,6.040898067626323e-05,1980 - 1985
63,terrorism,"('terrorist', 'terrorism')",25.43776035605424,5.8778529058084125e-05,1980 - 1985
64,terrorism,"('terrorism', 'task')",25.139907607415584,5.809028661079962e-05,1980 - 1985
65,terrorism,"('government', 'terrorism')",25.02597091720866,5.7827015357262724e-05,1980 - 1985
66,terrorism,"('involved', 'terrorism')",24.95686016960515,5.7667322521518554e-05,1980 - 1985
67,terrorism,"('world', 'terrorism')",23.87332805974679,5.516362633469923e-05,1980 - 1985
68,terrorism,"('soft', 'terrorism')",23.754522125359173,5.488910381506973e-05,1980 - 1985
69,terrorism,"('nourish', 'terrorism')",23.734309319065055,5.4842398483881974e-05,1980 - 1985
70,terrorism,"('sabotage', 'terrorism')",22.9081334373136,5.2933370236390905e-05,1980 - 1985
71,terrorism,"('terrorism', 'subcommittee')",22.779681918872495,5.263655985672049e-05,1980 - 1985
72,terrorism,"('bloodshed', 'terrorism')",22.49009945225791,5.196742738631548e-05,1980 - 1985
73,terrorism,"('worldwide', 'terrorism')",22.48117502671296,5.194680589295765e-05,1980 - 1985
74,terrorism,"('terrorism', 'also')",22.116540323534814,5.11042517059401e-05,1980 - 1985
75,terrorism,"('terrorism', 'gross')",21.9529119103946,5.072615877236935e-05,1980 - 1985
76,terrorism,"('concern', 'terrorism')",21.642117580441838,5.000801246945128e-05,1980 - 1985
77,terrorism,"('terrorism', 'around')",21.493971783535855,4.966569491057865e-05,1980 - 1985
78,terrorism,"('rampant', 'terrorism')",21.051325972385975,4.864288200138635e-05,1980 - 1985
79,terrorism,"('condemnation', 'terrorism')",21.02891366891941,4.8591094335643426e-05,1980 - 1985
80,terrorism,"('denounce', 'terrorism')",20.732045198087565,4.790512623959343e-05,1980 - 1985
81,terrorism,"('terrorism', 'succeed')",20.552020746313765,4.748914730427676e-05,1980 - 1985
82,terrorism,"('halt', 'terrorism')",20.5427693720291,4.74677703369413e-05,1980 - 1985
83,terrorism,"('armenia', 'terrorism')",20.476937433039694,4.7315653779324714e-05,1980 - 1985
84,terrorism,"('terrorism', 'said')",20.20350768009054,4.6683845064480774e-05,1980 - 1985
85,terrorism,"('export', 'terrorism')",19.78251917001545,4.571107525195761e-05,1980 - 1985
86,terrorism,"('subversion', 'terrorism')",19.634241355202153,4.5368452641921174e-05,1980 - 1985
87,terrorism,"('basque', 'terrorism')",19.44242820680866,4.492523379880136e-05,1980 - 1985
88,terrorism,"('terrorism', 'narcotic')",19.307311697273356,4.46130227562102e-05,1980 - 1985
89,terrorism,"('oppose', 'terrorism')",18.988699652216553,4.3876812213831624e-05,1980 - 1985
90,terrorism,"('battle', 'terrorism')",18.90011644283556,4.3672124746311715e-05,1980 - 1985
91,terrorism,"('rationalize', 'terrorism')",18.726942492100648,4.327197512807095e-05,1980 - 1985
92,terrorism,"('crime', 'terrorism')",18.616735769287615,4.3017322636318844e-05,1980 - 1985
93,terrorism,"('straight', 'terrorism')",18.337142310242264,4.237127156787107e-05,1980 - 1985
94,terrorism,"('terrorism', 'especially')",17.806809825595018,4.1145842798869193e-05,1980 - 1985
95,terrorism,"('subject', 'terrorism')",17.63983008399488,4.0760006016999395e-05,1980 - 1985
96,terrorism,"('accused', 'terrorism')",17.172277316332096,3.967964109667677e-05,1980 - 1985
97,terrorism,"('terrorism', 'direct')",16.67619404767347,3.853335131275165e-05,1980 - 1985
98,terrorism,"('terrorism', 'one')",16.526752600823173,3.818803992121314e-05,1980 - 1985
99,terrorism,"('one', 'terrorism')",16.486645021021218,3.8095364130898225e-05,1980 - 1985
100,terrorism,"('terrorism', 'justified')",16.36078334942031,3.780453805902935e-05,1980 - 1985
101,terrorism,"('terrorism', 'rand')",16.36078334942031,3.780453805902935e-05,1980 - 1985
102,terrorism,"('said', 'terrorism')",16.336095252520003,3.774749176247132e-05,1980 - 1985
103,terrorism,"('collusion', 'terrorism')",16.12503577931106,3.7259800817775276e-05,1980 - 1985
104,terrorism,"('sponsorship', 'terrorism')",16.12503577931106,3.7259800817775276e-05,1980 - 1985
105,terrorism,"('stand', 'terrorism')",15.741243033216826,3.637297852041792e-05,1980 - 1985
106,terrorism,"('menace', 'terrorism')",15.696690633370928,3.627003217245745e-05,1980 - 1985
107,terrorism,"('specialize', 'terrorism')",15.469586256502332,3.57452665866455e-05,1980 - 1985
108,terrorism,"('terrorism', 'sec')",15.469586256502332,3.57452665866455e-05,1980 - 1985
109,terrorism,"('action', 'terrorism')",15.265502897483874,3.5273695210846965e-05,1980 - 1985
110,terrorism,"('eliminate', 'terrorism')",15.160064915641405,3.503006175441029e-05,1980 - 1985
111,terrorism,"('terrorism', 'mode')",14.882722469435802,3.4389212056749844e-05,1980 - 1985
112,terrorism,"('lawless', 'terrorism')",14.807130048813287,3.421454214753066e-05,1980 - 1985
113,terrorism,"('terrorism', 'undermine')",14.780120022721746,3.4152130615176424e-05,1980 - 1985
114,terrorism,"('use', 'terrorism')",14.72410872233376,3.402270641267768e-05,1980 - 1985
115,terrorism,"('terrorism', 'middle')",14.641580432223957,3.383200992719961e-05,1980 - 1985
116,terrorism,"('resort', 'terrorism')",14.624891707381849,3.379344762122833e-05,1980 - 1985
117,terrorism,"('terrorism', 'spread')",14.624891707381849,3.379344762122833e-05,1980 - 1985
118,terrorism,"('america', 'terrorism')",14.611361962908237,3.376218470863071e-05,1980 - 1985
119,terrorism,"('drama', 'terrorism')",14.533892200478505,3.358317686287847e-05,1980 - 1985
120,terrorism,"('terrorism', 'abroad')",14.505753133776741,3.351815647874692e-05,1980 - 1985
121,terrorism,"('terrorism', 'unlawful')",14.351680361619874,3.316214357554624e-05,1980 - 1985
122,terrorism,"('consider', 'terrorism')",14.231704746982377,3.288491829892895e-05,1980 - 1985
123,terrorism,"('war', 'terrorism')",14.125710283752465,3.263999899197146e-05,1980 - 1985
124,terrorism,"('terrorism', 'urge')",14.077428064326297,3.2528434223776196e-05,1980 - 1985
125,terrorism,"('terrorism', 'increase')",14.063027543754238,3.2495159226093675e-05,1980 - 1985
126,terrorism,"('terrorism', 'rampant')",13.866974733665812,3.2042143880662175e-05,1980 - 1985
127,terrorism,"('terrorism', 'intimidation')",13.773028994843747,3.182506532256806e-05,1980 - 1985
128,terrorism,"('terrorism', 'graphic')",13.645277473200185,3.152987241163424e-05,1980 - 1985
129,terrorism,"('practice', 'terrorism')",13.639864317811444,3.1517364340685405e-05,1980 - 1985
130,terrorism,"('adviser', 'terrorism')",13.523945972525432,3.1249514116004074e-05,1980 - 1985
131,terrorism,"('israel', 'terrorism')",13.518868854764541,3.1237782520546664e-05,1980 - 1985
132,terrorism,"('lethal', 'terrorism')",13.421359731291723,3.101247012011314e-05,1980 - 1985
133,terrorism,"('surge', 'terrorism')",13.421359731291723,3.101247012011314e-05,1980 - 1985
134,terrorism,"('terrorism', 'begun')",13.154326706548636,3.0395442198447306e-05,1980 - 1985
135,terrorism,"('terrorism', 'underscore')",13.087759292585037,3.024162619337398e-05,1980 - 1985
136,terrorism,"('regarding', 'terrorism')",12.666429608494177,2.9268068036809542e-05,1980 - 1985
137,terrorism,"('paragraph', 'terrorism')",12.6259022434418,2.917442225703036e-05,1980 - 1985
138,terrorism,"('convention', 'terrorism')",12.450915813660904,2.8770084579354314e-05,1980 - 1985
139,terrorism,"('terrorism', 'including')",12.310349851922801,2.8445281595484933e-05,1980 - 1985
140,terrorism,"('study', 'terrorism')",12.29074335285085,2.839997724638748e-05,1980 - 1985
141,terrorism,"('fanaticism', 'terrorism')",12.267895795876065,2.8347183848983334e-05,1980 - 1985
142,terrorism,"('root', 'terrorism')",12.267895795876065,2.8347183848983334e-05,1980 - 1985
143,terrorism,"('terrorism', 'certainty')",12.267895795876065,2.8347183848983334e-05,1980 - 1985
144,terrorism,"('terrorism', 'root')",12.267895795876065,2.8347183848983334e-05,1980 - 1985
145,terrorism,"('role', 'terrorism')",12.21935440819467,2.8235020225833568e-05,1980 - 1985
146,terrorism,"('terrorism', 'imply')",12.080133944015882,2.7913326256526822e-05,1980 - 1985
147,terrorism,"('fear', 'terrorism')",11.986392365991327,2.769671944874409e-05,1980 - 1985
148,terrorism,"('art', 'terrorism')",11.932153327514527,2.757139037674376e-05,1980 - 1985
149,terrorism,"('distinguish', 'terrorism')",11.932153327514527,2.757139037674376e-05,1980 - 1985
150,terrorism,"('coverage', 'terrorism')",11.806033929842691,2.7279968782347076e-05,1980 - 1985
151,terrorism,"('modern', 'terrorism')",11.806033929842691,2.7279968782347076e-05,1980 - 1985
152,terrorism,"('terrorism', 'specialist')",11.683343648744307,2.699647077970277e-05,1980 - 1985
153,terrorism,"('kind', 'terrorism')",11.480652740064482,2.652811691132414e-05,1980 - 1985
154,terrorism,"('terrorism', 'tolerate')",11.37127826631316,2.627538748099618e-05,1980 - 1985
155,terrorism,"('strain', 'terrorism')",11.317881205451187,2.6152003949995e-05,1980 - 1985
156,terrorism,"('toward', 'terrorism')",11.219467774899613,2.592460198510446e-05,1980 - 1985
157,terrorism,"('terrorism', 'lie')",11.211643175951112,2.59065218392809e-05,1980 - 1985
158,terrorism,"('terrorism', 'continue')",11.169003380939074,2.580799490943075e-05,1980 - 1985
159,terrorism,"('terrorism', 'could')",11.109927375803757,2.567148915436905e-05,1980 - 1985
160,terrorism,"('plague', 'terrorism')",11.03547607006357,2.5499455996708598e-05,1980 - 1985
161,terrorism,"('terrorism', 'form')",10.952517438537265,2.5307765129842354e-05,1980 - 1985
162,terrorism,"('military', 'terrorism')",10.947110382645306,2.529527115287993e-05,1980 - 1985
163,terrorism,"('rising', 'terrorism')",10.73210341486994,2.479845881066966e-05,1980 - 1985
164,terrorism,"('attack', 'terrorism')",10.663004292128928,2.4638792836265034e-05,1980 - 1985
165,terrorism,"('terrorism', 'privacy')",10.269407279913143,2.37293160153548e-05,1980 - 1985
166,terrorism,"('terrorism', 'according')",10.222210133043134,2.3620258502825117e-05,1980 - 1985
167,terrorism,"('official', 'terrorism')",9.83691077996533,2.2729954918549282e-05,1980 - 1985
168,terrorism,"('terrorism', 'works')",9.815169056804695,2.267971674943838e-05,1980 - 1985
