colocate,label,score_normalized,score
abet,1980 - 1985,6.878835601803158e-05,29.769743198991577
abroad,1980 - 1985,3.351815647874692e-05,14.50575313377674
according,1980 - 1985,2.3620258502825117e-05,10.222210133043134
accused,1980 - 1985,3.967964109667677e-05,17.172277316332096
across,1980 - 1985,8.79463722267187e-06,3.8060815347673738
act,1980 - 1985,0.0014871915586482,643.6163524108605
add,1980 - 1985,4.329008517525077e-06,1.8734780031548803
addition,1980 - 1985,6.4435346216491435e-06,2.788587808814965
address,1980 - 1985,9.185803546121165e-06,3.975367758065495
administration,1980 - 1985,3.831127959671569e-07,0.1658008740490943
adviser,1980 - 1985,3.1249514116004074e-05,13.523945972525432
advocate,1980 - 1985,9.588931431628036e-06,4.14983062245996
age,1980 - 1985,1.9804459879312e-05,8.570835515349494
aggression,1980 - 1985,1.0945453003615506e-05,4.736896532733693
ago,1980 - 1985,1.6825543158130587e-08,0.0072816407891736
agree,1980 - 1985,5.408326062890669e-07,0.2340577495215383
agreement,1980 - 1985,2.101789488808561e-06,0.9095977424401472
aid,1980 - 1985,4.492091562172503e-07,0.194405594163608
aim,1980 - 1985,1.4735239482198134e-05,6.377013796429333
allow,1980 - 1985,3.0319026413772772e-06,1.3121256018167684
almost,1980 - 1985,4.267691522755007e-06,1.8469416633772529
already,1980 - 1985,6.074313605090766e-06,2.628798921815946
also,1980 - 1985,5.11042517059401e-05,22.116540323534817
although,1980 - 1985,8.192043049697749e-06,3.545295046746844
always,1980 - 1985,1.1267758465212867e-05,4.876381634265569
america,1980 - 1985,3.589325458788221e-05,15.533631467761548
among,1980 - 1985,5.698002614214343e-07,0.2465941685361383
analyst,1980 - 1985,5.922163762689885e-06,2.5629525780705897
another,1980 - 1985,3.9427581378797935e-06,1.706319267604652
appear,1980 - 1985,1.2155597244352555e-05,5.260614286230188
arab,1980 - 1985,1.637766977514372e-05,7.087813281598272
area,1980 - 1985,5.2543624258000945e-08,0.0227394619010078
armed,1980 - 1985,1.797040739250776e-11,7.77710711847776e-06
armenia,1980 - 1985,4.7315653779324714e-05,20.476937433039694
army,1980 - 1985,2.5253650526414575e-06,1.0929098099268015
around,1980 - 1985,4.966569491057865e-05,21.493971783535855
arrest,1980 - 1985,8.440859158158346e-07,0.3652975940453662
art,1980 - 1985,2.757139037674376e-05,11.932153327514529
ask,1980 - 1985,8.686573808065383e-07,0.375931460663788
assassinate,1980 - 1985,8.865601665186042e-06,3.836793029447559
attack,1980 - 1985,4.330491212302876e-05,18.74119673421953
attempt,1980 - 1985,3.09513871757237e-07,0.1339492468219947
authority,1980 - 1985,3.692327661232689e-09,0.0015979397189346
back,1980 - 1985,1.211593865830647e-06,0.5243451120971265
backing,1980 - 1985,1.4253199910260894e-05,6.168400084763338
base,1980 - 1985,1.945959443829157e-06,0.8421587063842759
basque,1980 - 1985,4.5807989673625864e-05,19.82446111502409
battle,1980 - 1985,4.3672124746311715e-05,18.90011644283556
become,1980 - 1985,6.110253586674583e-05,26.443527754659193
began,1980 - 1985,6.6178998068089225e-06,2.8640483530921177
begin,1980 - 1985,5.81776631024723e-06,2.5177721793846244
beginning,1980 - 1985,8.073896294682152e-06,3.494164321138479
begun,1980 - 1985,3.0395442198447302e-05,13.154326706548636
behind,1980 - 1985,1.3009694409411504e-05,5.630244478644245
believe,1980 - 1985,2.579257865157117e-06,1.116233164077641
bitter,1980 - 1985,1.5229207449961924e-05,6.5907897957423724
black,1980 - 1985,4.171566072801452e-06,1.8053411640245027
blame,1980 - 1985,4.721123847551961e-06,2.0431749308766047
bloodshed,1980 - 1985,5.196742738631548e-05,22.49009945225791
bomb,1980 - 1985,1.768493856080357e-05,7.653563915774644
brigade,1980 - 1985,2.113392190628996e-06,0.9146190785150824
bring,1980 - 1985,4.5223553161620215e-06,1.9571532772413869
britain,1980 - 1985,6.741626752338234e-07,0.2917594034489674
call,1980 - 1985,7.004138430703367e-06,3.0312020010707883
came,1980 - 1985,8.596965444878186e-06,3.720534526476267
campaign,1980 - 1985,6.918779476146266e-05,29.94260950230247
capital,1980 - 1985,5.441740432722831e-06,2.3550383322907575
carry,1980 - 1985,8.156390764114005e-07,0.352986570015791
cause,1980 - 1985,7.730039458653737e-06,3.345352366639954
central,1980 - 1985,8.936204132770536e-06,3.867347871151503
certainty,1980 - 1985,2.8347183848983338e-05,12.267895795876065
change,1980 - 1985,4.75558607172824e-08,0.0205808925102004
claim,1980 - 1985,7.45270174350533e-08,0.0322532809164203
clear,1980 - 1985,6.154745183077599e-07,0.2663607537116041
clearly,1980 - 1985,1.251183971268187e-05,5.414786407976471
close,1980 - 1985,2.0631247147156634e-07,0.0892864672161641
collusion,1980 - 1985,3.725980081777528e-05,16.12503577931106
