Topic,Words,Frequency,Timestamp
-1,"larkin, radcliff, medal, ribbon, oregon",1,1968.949
0,"lohmann, warlord, afghanistan, shsu, maza",1,1968.949
-1,"mcguire, executive, overseas, business, study",1,1976.65
2,"aba, insurance, bond, bank, blanket",1,1976.65
160,"russell, bank, banker, ransom, kidnapings",1,1976.65
-1,"soviet, reagan, subcommittee, mr, political",88,1979.2
0,"naxalites, landless, nadu, pakistani, bengal",3,1979.2
1,"palestinian, israel, israeli, arab, arafat",16,1979.2
3,"klan, hines, wilkinson, klansman, civiletti",1,1979.2
4,"desideria, fassbinder, ambler, film, novel",5,1979.2
7,"libyan, libya, qaddafi, colonel, oil",27,1979.2
13,"turkey, turkish, demirel, ankara, evren",41,1979.2
14,"webster, bureau, casey, fbi, unclassified",2,1979.2
17,"ireland, irish, northern, ira, protestant",23,1979.2
18,"basque, spain, spanish, eta, madrid",19,1979.2
23,"assad, brotherhood, syria, moslem, syrian",1,1979.2
24,"mahler, germany, german, berlin, baumann",7,1979.2
25,"nuclear, nest, device, doyle, material",2,1979.2
28,"quebec, provincial, trudeau, duchaine, canadian",1,1979.2
32,"huac, committee, bentsen, senate, senator",5,1979.2
33,"moslem, indonesian, suharto, indonesia, sudomo",1,1979.2
35,"salvador, el, nicaragua, salvadoran, costa",24,1979.2
37,"hostage, honsowitz, iran, dr, beckwith",5,1979.2
39,"puerto, rico, webster, bomb, extortion",7,1979.2
54,"brigade, italian, italy, red, bologna",28,1979.2
55,"laprade, gray, in, bureau, break",1,1979.2
62,"cuba, cuban, havana, skyjackers, skyjackings",2,1979.2
63,"decreed, peru, jara, belaunde, constitutionality",1,1979.2
64,"south, african, africa, black, namibian",7,1979.2
68,"pope, polish, walesa, vatican, prelate",1,1979.2
71,"swedish, khaddoumi, uppsala, gc, pflp",1,1979.2
72,"marcos, philippine, aquino, manila, filipino",5,1979.2
73,"nato, madrid, soviet, notification, kampelman",1,1979.2
103,"vesco, bribery, subcommittee, multimillion, bribe",1,1979.2
112,"bank, privacy, schwartz, athowe, customer",1,1979.2
119,"croatian, yugoslav, croatia, yugoslavia, serb",1,1979.2
129,"haig, soviet, reagan, union, carter",8,1979.2
130,"argentina, argentine, esquivel, timerman, military",8,1979.2
131,"baghdad, iraq, azzawi, iraqi, hussein",1,1979.2
148,"chapman, haig, affaire, paris, libya",1,1979.2
