Topic,Words,Frequency,Class
-1,"said, terrorism, terrorist, state, mr",0.378021978021978,pittsburgh post-gazette
0,"french, france, paris, strasbourg, police",0.01098901098901099,pittsburgh post-gazette
1,"british, britain, london, police, miranda",0.015384615384615385,pittsburgh post-gazette
2,"pakistan, pakistani, afghanistan, militant, musharraf",0.02967032967032967,pittsburgh post-gazette
3,"arafat, palestinian, israel, peace, israeli",0.020879120879120878,pittsburgh post-gazette
4,"gadhafi, libya, libyan, athlete, clinton",0.0032967032967032967,pittsburgh post-gazette
5,"terrorism, definition, environment, war, terrorist",0.00989010989010989,pittsburgh post-gazette
6,"iran, hostage, iranian, khatami, tehran",0.006593406593406593,pittsburgh post-gazette
7,"turkey, ocalan, turkish, kurdish, istanbul",0.004395604395604396,pittsburgh post-gazette
8,"aristide, haiti, cedras, army, bertrand",0.002197802197802198,pittsburgh post-gazette
9,"spain, madrid, basque, spanish, eta",0.005494505494505495,pittsburgh post-gazette
10,"india, indian, pakistan, mumbai, hindu",0.008791208791208791,pittsburgh post-gazette
11,"bauer, movie, novel, film, moskow",0.015384615384615385,pittsburgh post-gazette
12,"ireland, ira, irish, northern, british",0.01978021978021978,pittsburgh post-gazette
13,"bill, provision, senate, clinton, house",0.026373626373626374,pittsburgh post-gazette
14,"russian, russia, chechen, moscow, putin",0.013186813186813187,pittsburgh post-gazette
15,"israeli, palestinian, israel, pomerantz, jewish",0.007692307692307693,pittsburgh post-gazette
16,"italy, italian, mafia, rome, milan",0.00989010989010989,pittsburgh post-gazette
17,"german, germany, berlin, police, christmas",0.0032967032967032967,pittsburgh post-gazette
18,"patriot, nsa, surveillance, act, program",0.013186813186813187,pittsburgh post-gazette
19,"iraqi, iraq, baghdad, sunni, maliki",0.00989010989010989,pittsburgh post-gazette
20,"fbi, agent, mueller, bureau, information",0.007692307692307693,pittsburgh post-gazette
21,"muslim, islam, islamic, american, community",0.017582417582417582,pittsburgh post-gazette
22,"raqqa, ibrahim, syria, syrian, assad",0.002197802197802198,pittsburgh post-gazette
23,"fema, homeland, threat, security, local",0.007692307692307693,pittsburgh post-gazette
24,"south, african, africa, pac, johannesburg",0.002197802197802198,pittsburgh post-gazette
25,"saudi, arabia, qaida, kingdom, al",0.007692307692307693,pittsburgh post-gazette
26,"indonesia, indonesian, bali, jakarta, bashir",0.007692307692307693,pittsburgh post-gazette
