place,count,count_normalized,label
united states,1181,0.1120918754745634,1991 - 1995
israel,347,0.03293470007593014,1991 - 1995
washington,301,0.028568716780561883,1991 - 1995
islam,269,0.02553151100987092,1991 - 1995
arab,266,0.025246772968868642,1991 - 1995
new york,250,0.02372817008352316,1991 - 1995
palestinian,247,0.02344343204252088,1991 - 1995
muslim,231,0.021924829157175398,1991 - 1995
iraq,217,0.020596051632498103,1991 - 1995
iran,210,0.019931662870159454,1991 - 1995
britain,201,0.019077448747152618,1991 - 1995
egypt,197,0.01869779802581625,1991 - 1995
oklahoma city,158,0.014996203492786636,1991 - 1995
syria,156,0.014806378132118452,1991 - 1995
lebanon,150,0.014236902050113895,1991 - 1995
jewish,140,0.013287775246772968,1991 - 1995
france,140,0.013287775246772968,1991 - 1995
london,139,0.013192862566438876,1991 - 1995
republican,126,0.011958997722095672,1991 - 1995
libya,121,0.011484434320425209,1991 - 1995
kuwait,108,0.010250569476082005,1991 - 1995
germany,94,0.008921791951404707,1991 - 1995
jordan,94,0.008921791951404707,1991 - 1995
new york city,93,0.008826879271070615,1991 - 1995
democrat,78,0.007403189066059226,1991 - 1995
europe,78,0.007403189066059226,1991 - 1995
scotland,78,0.007403189066059226,1991 - 1995
west bank,72,0.00683371298405467,1991 - 1995
the west bank,71,0.006738800303720577,1991 - 1995
jew,69,0.006548974943052392,1991 - 1995
japan,67,0.0063591495823842065,1991 - 1995
soviet,66,0.006264236902050114,1991 - 1995
russia,66,0.006264236902050114,1991 - 1995
italy,65,0.006169324221716021,1991 - 1995
manhattan,63,0.005979498861047836,1991 - 1995
gaza,61,0.00578967350037965,1991 - 1995
paris,61,0.00578967350037965,1991 - 1995
cairo,60,0.0056947608200455585,1991 - 1995
northern ireland,60,0.0056947608200455585,1991 - 1995
jerusalem,60,0.0056947608200455585,1991 - 1995
algeria,57,0.00541002277904328,1991 - 1995
beirut,54,0.005125284738041002,1991 - 1995
saudi arabia,53,0.0050303720577069095,1991 - 1995
baghdad,52,0.004935459377372817,1991 - 1995
new jersey,52,0.004935459377372817,1991 - 1995
ireland,52,0.004935459377372817,1991 - 1995
damascus,51,0.004840546697038725,1991 - 1995
oklahoma,51,0.004840546697038725,1991 - 1995
lockerbie,50,0.004745634016704632,1991 - 1995
pakistan,49,0.004650721336370539,1991 - 1995
christian,49,0.004650721336370539,1991 - 1995
los angeles,46,0.0043659832953682615,1991 - 1995
tel aviv,45,0.004271070615034169,1991 - 1995
